janeiro-Sudoeste Rio Grandense-Campanha Meridional-furto,6
fevereiro-Sudoeste Rio Grandense-Campanha Meridional-furto,4
marco-Sudoeste Rio Grandense-Campanha Meridional-furto,6
abril-Sudoeste Rio Grandense-Campanha Meridional-furto,5
maio-Sudoeste Rio Grandense-Campanha Meridional-furto,1
maio-Sudoeste Rio Grandense-Campanha Meridional-furto,4
junho-Sudoeste Rio Grandense-Campanha Meridional-furto,3
julho-Sudoeste Rio Grandense-Campanha Meridional-furto,8
agosto-Sudoeste Rio Grandense-Campanha Meridional-furto,3
setembro-Sudoeste Rio Grandense-Campanha Meridional-furto,6
outubro-Sudoeste Rio Grandense-Campanha Meridional-furto,5
novembro-Sudoeste Rio Grandense-Campanha Meridional-furto,3
dezembro-Sudoeste Rio Grandense-Campanha Meridional-furto,4
janeiro-Noroeste Rio Grandense-Passo Fundo-furto,1
marco-Noroeste Rio Grandense-Passo Fundo-furto,1
abril-Noroeste Rio Grandense-Passo Fundo-estelionato,1
abril-Noroeste Rio Grandense-Passo Fundo-furto,2
abril-Noroeste Rio Grandense-Passo Fundo-roubo,1
maio-Noroeste Rio Grandense-Passo Fundo-furto,4
junho-Noroeste Rio Grandense-Passo Fundo-furto,5
julho-Noroeste Rio Grandense-Passo Fundo-furto,3
julho-Noroeste Rio Grandense-Passo Fundo-roubo,1
agosto-Noroeste Rio Grandense-Passo Fundo-furto,2
setembro-Noroeste Rio Grandense-Passo Fundo-estelionato,1
setembro-Noroeste Rio Grandense-Passo Fundo-furto,4
outubro-Noroeste Rio Grandense-Passo Fundo-furto,1
outubro-Noroeste Rio Grandense-Passo Fundo-furto,3
novembro-Noroeste Rio Grandense-Passo Fundo-furto,2
dezembro-Noroeste Rio Grandense-Passo Fundo-furto,1
janeiro-Centro Ocidental Rio Grandense-Restinga Seca-estelionato,3
janeiro-Centro Ocidental Rio Grandense-Restinga Seca-furto,6
fevereiro-Centro Ocidental Rio Grandense-Restinga Seca-estelionato,2
fevereiro-Centro Ocidental Rio Grandense-Restinga Seca-extorsao,1
fevereiro-Centro Ocidental Rio Grandense-Restinga Seca-furto,1
fevereiro-Centro Ocidental Rio Grandense-Restinga Seca-furto,21
fevereiro-Centro Ocidental Rio Grandense-Restinga Seca-roubo,2
marco-Centro Ocidental Rio Grandense-Restinga Seca-furto,1
marco-Centro Ocidental Rio Grandense-Restinga Seca-furto,17
abril-Centro Ocidental Rio Grandense-Restinga Seca-estelionato,2
abril-Centro Ocidental Rio Grandense-Restinga Seca-furto,1
abril-Centro Ocidental Rio Grandense-Restinga Seca-furto,18
maio-Centro Ocidental Rio Grandense-Restinga Seca-furto,26
junho-Centro Ocidental Rio Grandense-Restinga Seca-furto,13
julho-Centro Ocidental Rio Grandense-Restinga Seca-estelionato,1
julho-Centro Ocidental Rio Grandense-Restinga Seca-furto,12
agosto-Centro Ocidental Rio Grandense-Restinga Seca-trafico de drogas,1
agosto-Centro Ocidental Rio Grandense-Restinga Seca-furto,16
agosto-Centro Ocidental Rio Grandense-Restinga Seca-roubo,1
setembro-Centro Ocidental Rio Grandense-Restinga Seca-estelionato,2
setembro-Centro Ocidental Rio Grandense-Restinga Seca-extorsao,1
setembro-Centro Ocidental Rio Grandense-Restinga Seca-furto,1
setembro-Centro Ocidental Rio Grandense-Restinga Seca-furto,25
setembro-Centro Ocidental Rio Grandense-Restinga Seca-roubo,1
outubro-Centro Ocidental Rio Grandense-Restinga Seca-estelionato,2
outubro-Centro Ocidental Rio Grandense-Restinga Seca-furto,15
novembro-Centro Ocidental Rio Grandense-Restinga Seca-estelionato,1
novembro-Centro Ocidental Rio Grandense-Restinga Seca-furto,3
novembro-Centro Ocidental Rio Grandense-Restinga Seca-furto,8
dezembro-Centro Ocidental Rio Grandense-Restinga Seca-estelionato,1
dezembro-Centro Ocidental Rio Grandense-Restinga Seca-furto,12
janeiro-Noroeste Rio Grandense-Ijuí-extorsao,1
janeiro-Noroeste Rio Grandense-Ijuí-furto,1
janeiro-Noroeste Rio Grandense-Ijuí-furto,9
fevereiro-Noroeste Rio Grandense-Ijuí-furto,3
marco-Noroeste Rio Grandense-Ijuí-furto,2
abril-Noroeste Rio Grandense-Ijuí-estelionato,1
abril-Noroeste Rio Grandense-Ijuí-furto,1
maio-Noroeste Rio Grandense-Ijuí-furto,5
maio-Noroeste Rio Grandense-Ijuí-homicidio,1
junho-Noroeste Rio Grandense-Ijuí-posse de drogas,2
junho-Noroeste Rio Grandense-Ijuí-furto,3
julho-Noroeste Rio Grandense-Ijuí-furto,5
agosto-Noroeste Rio Grandense-Ijuí-estelionato,1
agosto-Noroeste Rio Grandense-Ijuí-furto,4
setembro-Noroeste Rio Grandense-Ijuí-estelionato,1
setembro-Noroeste Rio Grandense-Ijuí-furto,5
outubro-Noroeste Rio Grandense-Ijuí-estelionato,1
outubro-Noroeste Rio Grandense-Ijuí-furto,1
outubro-Noroeste Rio Grandense-Ijuí-furto,3
novembro-Noroeste Rio Grandense-Ijuí-furto,7
dezembro-Noroeste Rio Grandense-Ijuí-trafico de drogas,1
