janeiro-Sudoeste Rio Grandense-Campanha Meridional-furto,5
fevereiro-Sudoeste Rio Grandense-Campanha Meridional-furto,6
marco-Sudoeste Rio Grandense-Campanha Meridional-furto,5
abril-Sudoeste Rio Grandense-Campanha Meridional-furto,2
maio-Sudoeste Rio Grandense-Campanha Meridional-furto,2
junho-Sudoeste Rio Grandense-Campanha Meridional-furto,4
janeiro-Noroeste Rio Grandense-Passo Fundo-furto,4
fevereiro-Noroeste Rio Grandense-Passo Fundo-estelionato,1
fevereiro-Noroeste Rio Grandense-Passo Fundo-furto,1
marco-Noroeste Rio Grandense-Passo Fundo-furto,3
abril-Noroeste Rio Grandense-Passo Fundo-furto,3
maio-Noroeste Rio Grandense-Passo Fundo-furto,4
maio-Noroeste Rio Grandense-Passo Fundo-roubo,1
junho-Noroeste Rio Grandense-Passo Fundo-furto,1
junho-Noroeste Rio Grandense-Passo Fundo-furto,3
janeiro-Centro Ocidental Rio Grandense-Restinga Seca-estelionato,1
janeiro-Centro Ocidental Rio Grandense-Restinga Seca-furto,10
janeiro-Centro Ocidental Rio Grandense-Restinga Seca-roubo,1
fevereiro-Centro Ocidental Rio Grandense-Restinga Seca-estelionato,1
fevereiro-Centro Ocidental Rio Grandense-Restinga Seca-furto,11
marco-Centro Ocidental Rio Grandense-Restinga Seca-estelionato,1
marco-Centro Ocidental Rio Grandense-Restinga Seca-furto,2
marco-Centro Ocidental Rio Grandense-Restinga Seca-furto,10
abril-Centro Ocidental Rio Grandense-Restinga Seca-furto,28
maio-Centro Ocidental Rio Grandense-Restinga Seca-furto,16
junho-Centro Ocidental Rio Grandense-Restinga Seca-estelionato,3
junho-Centro Ocidental Rio Grandense-Restinga Seca-furto,8
junho-Centro Ocidental Rio Grandense-Restinga Seca-roubo,1
janeiro-Noroeste Rio Grandense-Ijuí-furto,1
janeiro-Noroeste Rio Grandense-Ijuí-furto,2
fevereiro-Noroeste Rio Grandense-Ijuí-furto,3
marco-Noroeste Rio Grandense-Ijuí-furto,1
marco-Noroeste Rio Grandense-Ijuí-furto,6
abril-Noroeste Rio Grandense-Ijuí-furto,4
maio-Noroeste Rio Grandense-Ijuí-furto,12
junho-Noroeste Rio Grandense-Ijuí-estelionato,2
junho-Noroeste Rio Grandense-Ijuí-furto,1
junho-Noroeste Rio Grandense-Ijuí-furto,2
janeiro-Noroeste Rio Grandense-Santa Rosa-furto,8
fevereiro-Noroeste Rio Grandense-Santa Rosa-furto,6
marco-Noroeste Rio Grandense-Santa Rosa-estelionato,1
marco-Noroeste Rio Grandense-Santa Rosa-furto,5
abril-Noroeste Rio Grandense-Santa Rosa-furto,7
maio-Noroeste Rio Grandense-Santa Rosa-posse de drogas,1
maio-Noroeste Rio Grandense-Santa Rosa-furto,6
junho-Noroeste Rio Grandense-Santa Rosa-estelionato,1
junho-Noroeste Rio Grandense-Santa Rosa-furto,1
junho-Noroeste Rio Grandense-Santa Rosa-furto,9
janeiro-Sudoeste Rio Grandense-Campanha Ocidental-posse de drogas,2
janeiro-Sudoeste Rio Grandense-Campanha Ocidental-trafico de drogas,7
janeiro-Sudoeste Rio Grandense-Campanha Ocidental-estelionato,5
janeiro-Sudoeste Rio Grandense-Campanha Ocidental-furto,1
janeiro-Sudoeste Rio Grandense-Campanha Ocidental-furto,79
janeiro-Sudoeste Rio Grandense-Campanha Ocidental-homicidio,2
janeiro-Sudoeste Rio Grandense-Campanha Ocidental-roubo,6
fevereiro-Sudoeste Rio Grandense-Campanha Ocidental-posse de drogas,6
fevereiro-Sudoeste Rio Grandense-Campanha Ocidental-trafico de drogas,1
fevereiro-Sudoeste Rio Grandense-Campanha Ocidental-estelionato,3
fevereiro-Sudoeste Rio Grandense-Campanha Ocidental-furto,1
fevereiro-Sudoeste Rio Grandense-Campanha Ocidental-furto,59
fevereiro-Sudoeste Rio Grandense-Campanha Ocidental-homicidio,2
fevereiro-Sudoeste Rio Grandense-Campanha Ocidental-roubo,8
marco-Sudoeste Rio Grandense-Campanha Ocidental-posse de drogas,3
marco-Sudoeste Rio Grandense-Campanha Ocidental-trafico de drogas,5
marco-Sudoeste Rio Grandense-Campanha Ocidental-estelionato,2
marco-Sudoeste Rio Grandense-Campanha Ocidental-extorsao,1
marco-Sudoeste Rio Grandense-Campanha Ocidental-furto,2
marco-Sudoeste Rio Grandense-Campanha Ocidental-furto,81
marco-Sudoeste Rio Grandense-Campanha Ocidental-homicidio,1
marco-Sudoeste Rio Grandense-Campanha Ocidental-roubo,3
abril-Sudoeste Rio Grandense-Campanha Ocidental-posse de drogas,3
abril-Sudoeste Rio Grandense-Campanha Ocidental-trafico de drogas,2
abril-Sudoeste Rio Grandense-Campanha Ocidental-estelionato,1
abril-Sudoeste Rio Grandense-Campanha Ocidental-furto,3
abril-Sudoeste Rio Grandense-Campanha Ocidental-furto,81
abril-Sudoeste Rio Grandense-Campanha Ocidental-homicidio,1
abril-Sudoeste Rio Grandense-Campanha Ocidental-roubo,10
maio-Sudoeste Rio Grandense-Campanha Ocidental-posse de drogas,5
maio-Sudoeste Rio Grandense-Campanha Ocidental-trafico de drogas,2
maio-Sudoeste Rio Grandense-Campanha Ocidental-estelionato,8
maio-Sudoeste Rio Grandense-Campanha Ocidental-furto,103
maio-Sudoeste Rio Grandense-Campanha Ocidental-roubo,9
junho-Sudoeste Rio Grandense-Campanha Ocidental-posse de drogas,7
junho-Sudoeste Rio Grandense-Campanha Ocidental-trafico de drogas,3
junho-Sudoeste Rio Grandense-Campanha Ocidental-estelionato,5
junho-Sudoeste Rio Grandense-Campanha Ocidental-furto,2
junho-Sudoeste Rio Grandense-Campanha Ocidental-furto,103
junho-Sudoeste Rio Grandense-Campanha Ocidental-roubo,1
junho-Sudoeste Rio Grandense-Campanha Ocidental-roubo,7
janeiro-Noroeste Rio Grandense-Ijuí-furto,6
fevereiro-Noroeste Rio Grandense-Ijuí-furto,3
marco-Noroeste Rio Grandense-Ijuí-estelionato,1
marco-Noroeste Rio Grandense-Ijuí-furto,2
marco-Noroeste Rio Grandense-Ijuí-roubo,1
abril-Noroeste Rio Grandense-Ijuí-furto,1
abril-Noroeste Rio Grandense-Ijuí-furto,3
junho-Noroeste Rio Grandense-Ijuí-furto,2
janeiro-Noroeste Rio Grandense-Carazinho-furto,2
fevereiro-Noroeste Rio Grandense-Carazinho-furto,1
marco-Noroeste Rio Grandense-Carazinho-roubo,1
abril-Noroeste Rio Grandense-Carazinho-furto,2
maio-Noroeste Rio Grandense-Carazinho-furto,1
janeiro-Noroeste Rio Grandense-Frederico Westphalen-furto,9
